Day,Phase,Project Name,Primary Data Structures,Status,Verification Step
1,Beginner,Student Record System,Arrays,✅,Test CRUD operations with large dummy data
1,Beginner,Contact Book,Linked List,✅,Ensure O(N) search and O(1) insertion
1,Beginner,Undo/Redo Feature,Stack,✅,Implement two stacks (undo & redo) and test edge cases
1,Beginner,Printer Queue Simulation,Queue,✅,Handle job prioritization and empty queue exceptions
1,Beginner,Browser History Manager,Linked List / Stack,✅,Implement forward/back navigation without memory leaks
1,Beginner,Music Playlist,Circular Linked List,✅,Test looping from last song to first song seamlessly
2,Beginner,Balanced Brackets Validator,Stack,✅,Test with complex nested string inputs
2,Beginner,Railway Reservation System,Queue,✅,Handle waitlist logic and ticket cancellation
2,Beginner,Hospital Token System,Queue,✅,Implement standard FIFO processing
2,Beginner,Palindrome Checker,Deque,✅,Check from both ends simultaneously for O(N) time
2,Beginner,Spell Checker,Hashing,✅,Use a dictionary hash set for O(1) lookups
2,Beginner,Leaderboard Ranking System,Arrays / Sorting,✅,Optimize sorting for frequent top-K updates
3,Beginner,Basic Library Management,Arrays,⬜,Track available vs checked-out books
3,Beginner,Parking Lot Management,Stack,⬜,LIFO vehicle retrieval simulation
3,Beginner,Online Exam System,Array,⬜,Store MCQ objects and calculate scores dynamically
3,Beginner,File Compression Simulation,Huffman Coding,⬜,Verify encoded string matches expected bit length
3,Beginner,Simple Text Editor,Stack,⬜,Integrate with undo/redo logic
3,Beginner,Maze Solver,BFS,⬜,Find shortest path in a 2D grid
3,Beginner,Phone Directory,Hash Map,⬜,O(1) retrieval by name/number
3,Beginner,Bank Account System,Linked List,⬜,Track transaction history chronologically
4,Intermediate,Autocomplete Search Engine,Trie,⬜,Test prefix matching with 1000+ words
4,Intermediate,Dictionary App,HashMap and Trie,⬜,Combine fast exact lookup with prefix suggestions
4,Intermediate,Chat Application,Message Queue,⬜,Simulate asynchronous message delivery
4,Intermediate,Pathfinding Visualizer,BFS/DFS,⬜,Compare execution times of both algorithms
4,Intermediate,Network Packet Routing,Graph,⬜,Simulate node traversal
4,Intermediate,Job Scheduling System,Priority Queue,⬜,Process jobs based on assigned weight/priority
5,Intermediate,Movie Recommendation System,Graph + HashMap,⬜,Recommend based on shared edges (user preferences)
5,Intermediate,Family Tree Generator,Binary Tree,⬜,Traverse ancestors and descendants accurately
5,Intermediate,Expression Evaluator,Stack,⬜,Evaluate postfix/infix mathematical strings
5,Intermediate,Multiplayer Game Turn Manager,Queue,⬜,Cycle through player turns continuously
5,Intermediate,Cache Implementation,LRU (Doubly LL + HashMap),⬜,Enforce capacity limits and correct eviction
5,Intermediate,Task Scheduler,Heap + Queue,⬜,Manage recurring tasks with cooldowns
6,Intermediate,Railway Map Navigator,Graph Shortest Path,⬜,Implement Dijkstra for station-to-station routing
6,Intermediate,AI Snake Game,Deque + BFS,⬜,Manage snake body segments and path to food
6,Intermediate,Elevator Simulation,Queue,⬜,Optimize up/down request batching
6,Intermediate,Social Media Friend Suggestion,Graph Traversal,⬜,Find mutual friends (2nd degree connections)
6,Intermediate,Online Judge Platform,Heap for Ranking,⬜,Maintain real-time leaderboards efficiently
6,Intermediate,Chatbot Suggestion Engine,Trie + HashMap,⬜,Map intent prefixes to responses
6,Intermediate,Online Auction System,Heap/Priority Queue,⬜,Track highest bids in real-time
6,Intermediate,File System Simulation,Tree + Hashing,⬜,Mock directory creation and file mapping
7,Advanced,Plagiarism Checker,String Matching Algorithms,⬜,Implement KMP or Rabin-Karp
7,Advanced,Search Engine,Trie + Hashing + Ranking,⬜,Rank results based on frequency and relevance
7,Advanced,Blockchain Simulation,Linked List + Hashing,⬜,Link blocks using cryptographic hashes (SHA-256 mock)
7,Advanced,Version Control System,Graph + HashMap,⬜,Simulate commits and branching (DAG)
7,Advanced,Traffic Navigation System,Graph + Dijkstra,⬜,Factor in edge weights (traffic congestion)
7,Advanced,Smart City Electricity Grid,Graph + MST,⬜,Implement Kruskal or Prim for minimum cost wiring
8,Advanced,Airline Flight Scheduler,Graph + Shortest Path,⬜,Handle layovers and flight durations
8,Advanced,DNA Sequence Analyzer,String Algorithms,⬜,Find Longest Common Subsequence (LCS)
8,Advanced,Spam Email Filter,Hashing + String Matching,⬜,Detect malicious patterns instantly
8,Advanced,Online Multiplayer Matchmaking,Disjoint Set (Union-Find),⬜,Group players by skill brackets
8,Advanced,Memory Allocation Simulator,Heap + Queue,⬜,Simulate OS malloc/free operations
8,Advanced,Distributed File Sharing,Graph + DSU,⬜,Find connected peer-to-peer nodes
9,Advanced,AI Chess Game,Minimax + Tree Traversal,⬜,Implement Alpha-Beta pruning
9,Advanced,Hospital Management System,Heap + Priority Scheduling,⬜,Triage patients based on severity
9,Advanced,Weather Forecast Data Manager,Segment Tree,⬜,Query range minimum/maximum temperatures efficiently
9,Advanced,Big Data Log Analyzer,Trie + HashMap,⬜,Parse and aggregate millions of log entries
9,Advanced,Auto-Correct Keyboard,Trie + DP,⬜,Use Levenshtein distance for typo correction
9,Advanced,Fraud Transaction Detector,Graph + DSU,⬜,Detect cyclical transaction rings
10,Advanced,Image Compression Tool,Graph + Huffman,⬜,Map pixel frequencies to Huffman trees
10,Advanced,Compiler Design,Parsing with Stack + Tree,⬜,Build an Abstract Syntax Tree (AST)
10,Review,Code Review & GitHub Push,All Repo Files,⬜,Final formatting; ensure enterprise-grade READMEs